placement_id,student_id,company_name,year,ctc_lpa,raw_source_table
272,1,TCS,2019,,students_2019
93,2,Global Logic,2019,,students_2019
422,4,Unify Cloud,2019,,students_2019
192,5,Contata,2019,,students_2019
193,5,TCS,2019,,students_2019
1,8,"Newgen Software 
Technologies Limited",2019,,students_2019
494,9,TCS,2019,,students_2019
247,10,TCS,2019,,students_2019
141,11,Tricon,2019,,students_2019
560,12,Ntt Data,2019,,students_2019
165,13,Eckovation,2019,,students_2019
1015,15,TCS,2019,,students_2019
177,16,Global Logic,2019,,students_2019
147,17,TCS,2019,,students_2019
275,18,TCS,2019,,students_2019
356,19,Cognizant,2019,,students_2019
419,20,Cloudwala,2019,,students_2019
66,22,Capgemini,2019,,students_2019
756,23,Byjus,2019,,students_2019
222,24,Wipro Technologies,2019,,students_2019
849,25,Vaidik Eduservices Pvt Ltd,2019,,students_2019
431,26,Webkul,2019,,students_2019
813,27,Certybox,2019,,students_2019
437,28,Pitney Bowes,2019,,students_2019
759,29,Cognizant,2019,,students_2019
488,30,Global Logic,2019,,students_2019
671,31,Bosch,2019,,students_2019
922,32,Timex,2019,,students_2019
416,33,Mavenir Systems,2019,,students_2019
659,35,Wipro,2019,,students_2019
84,38,Infoedge,2019,,students_2019
674,40,Tak- Technologies,2019,,students_2019
308,41,Libsys,2019,,students_2019
404,42,TCS,2019,,students_2019
525,45,Eckovation,2019,,students_2019
526,45,Huddle Solutions,2019,,students_2019
524,45,TCS,2019,,students_2019
898,46,Ashok Leyland,2019,,students_2019
899,46,Torrent Power,2019,,students_2019
213,47,Capgemini,2019,,students_2019
214,47,Fiserv,2019,,students_2019
831,48,Timex,2019,,students_2019
461,49,Global Logic,2019,,students_2019
774,50,Torrent Power,2019,,students_2019
398,51,TCS,2019,,students_2019
317,52,Cvent,2019,,students_2019
669,54,Cognizant,2019,,students_2019
668,54,TCS,2019,,students_2019
901,55,Makino Auto Pvt,2019,,students_2019
293,57,Unify Cloud,2019,,students_2019
825,60,Cognizant,2019,,students_2019
1003,61,Greater Noida - Solar,2019,,students_2019
632,62,TCS,2019,,students_2019
49,63,Online Tyari,2019,,students_2019
698,64,Ntpc,2019,,students_2019
129,65,TCS,2019,,students_2019
602,66,Bosch,2019,,students_2019
569,67,Tsys,2019,,students_2019
689,68,Fiserv,2019,,students_2019
150,69,TCS,2019,,students_2019
201,70,TCS,2019,,students_2019
608,71,TCS,2019,,students_2019
928,73,Byju'S,2019,,students_2019
126,74,Unified Cloud,2019,,students_2019
864,75,Alt Innovation Mission,2019,,students_2019
